Project ID,Project Name,Project Approval Fiscal Year,Closing FY,Evaluation Date,Evaluation Type,IEG Outcome Ratings,IEG Bank Performance Ratings,IEG Quality at Entry Ratings,IEG Quality of Supervision Ratings,IEG Monitoring and Evaluation Quality Ratings,Global Practice,Practice Group,Region,Country,Country FCS Status,Country Lending Group,Agreement Type,Lending Instrument,Project Volume
P009160,HIGHWAYS VI,1974,1984,07-06-1984,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,
P009179,TRANS-YUGOSLAV HIGHWAY,1978,1984,07-06-1984,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,>=50 millon & <100 million
P009176,HIGHWAYS VIII,1977,1984,07-06-1984,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,>=50 millon & <100 million
P009161,AGRIC.CREDIT I,1975,1984,29-05-1984,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,FIL,>=50 millon & <100 million
P009156,DFC-INDUSTRIAL CREDIT,1974,1984,19-06-1984,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,FIL,>=50 millon & <100 million
P009153,POWER TRANSMISSION I,1972,1984,06-06-1984,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,
P009168,HIGHWAYS VII,1976,1984,07-06-1984,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,
P009171,SARAJEVO W/SUP.&SEWERAGE,1976,1986,02-06-1986,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIM,>=10 million & <25 million
P009152,WATER SUPPLY I,1971,1986,03-06-1986,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIM,>=25 million & <50 million
P009173,MONTENEGRO AGR/AGROIND 2,1977,1986,26-12-1985,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,>=25 million & <50 million
P009165,DUBROVNIK INFRASTRUCTURE,1975,1986,27-06-1986,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIM,less than 10 million
P009177,AGRIC.CREDIT II,1978,1986,19-12-1985,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,FIL,>=50 millon & <100 million
P009182,MACEDONIA IRRIGATION,1979,1986,30-10-1985,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,>=50 millon & <100 million
P009163,HARBOR BAR,1975,1987,09-07-1986,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,>=25 million & <50 million
P009190,EARTHQUAKE-PORT,1980,1987,09-07-1986,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,ERL,>=25 million & <50 million
P009203,SAL I (SAP),1983,1988,29-09-1987,PPAR,Unsatisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SAL,>=100 million
P009186,AG.CREDIT III,1980,1988,30-06-1988,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,FIL,>=50 millon & <100 million
P009195,KOSOVO RAILWAYS,1981,1990,29-06-1990,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,>=25 million & <50 million
P009164,RAILWAYS IV,1975,1990,29-06-1990,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,>=50 millon & <100 million
P009180,RAILWAYS V,1978,1990,29-06-1990,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,>=50 millon & <100 million
P009285,KOLUBARA B. THERMAL,1991,1991,27-02-1998,ICRR,,,Satisfactory,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,>=100 million
P009197,AGR. DEVT.BOSNIA,1982,1991,14-06-1991,PPAR,Satisfactory,,,Unsatisfactory,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,less than 10 million
P009301,AGRICULTURAL BANK I,1970,1978,27-06-1978,PPAR,Satisfactory,,,,Not Rated,Other,Other,South Asia,Afghanistan,0,IDA,IDA,FIL,
P009311,POWER I,1976,1981,12-06-1981,PPAR,Satisfactory,,,,Not Rated,Other,Other,South Asia,Afghanistan,0,IDA,IDA,SIL,
P078618,Programmatic Support for Institution Building,2005,2005,25-06-2013,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,"Macroeconomics, Trade and Investment",EFI,South Asia,Afghanistan,0,IDA,IDA,RIL,>=50 millon & <100 million
P077533,Emergency Community Empowerment and Public Works Project,2002,2005,24-10-2005,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Rated,"Urban, Resilience and Land",SD,South Asia,Afghanistan,0,IDA,IDA,ERL,>=25 million & <50 million
P077896,Emergency Education Rehabilitation & Development Project,2002,2006,22-06-2007,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Modest,Education,HD,South Asia,Afghanistan,1,IDA,IDA,ERL,>=10 million & <25 million
P077417,Emergency Public Administration Project,2002,2006,24-05-2006,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Rated,Governance,EFI,South Asia,Afghanistan,1,IDA,IDA,TAL,>=10 million & <25 million
P077779,Emergency Infrastructure Reconstruction Project,2002,2006,27-06-2007,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,Water,SD,South Asia,Afghanistan,1,IDA,IDA,ERL,>=25 million & <50 million
P084329,Afghanistan: Emergency National Solidarity Project,2004,2007,06-06-2008,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Moderately Satisfactory,Modest,"Urban, Resilience and Land",SD,South Asia,Afghanistan,1,IDA,IDA,SIL,>=100 million
P082472,National Emergency Employment Program for Rural Access,2003,2008,30-09-2008,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,Transport,INFRA,South Asia,Afghanistan,1,IDA,IDA,ERL,>=25 million & <50 million
P084736,Public Admin Cpacity Building Project,2005,2009,23-03-2010,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,Governance,EFI,South Asia,Afghanistan,1,IDA,IDA,TAL,>=25 million & <50 million
P091060,Improvement of Power Supply to kabul,2004,2009,14-04-2010,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Non-Evaluable,Energy & Extractives,INFRA,South Asia,Afghanistan,1,IDA,RETF,TAL,less than 10 million
P082610,Emergency Public Administration Project II,2003,2009,25-02-2010,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,Governance,EFI,South Asia,Afghanistan,1,IDA,IDA,TAL,less than 10 million
P078284,Emergency Transport Rehabilitation Project,2003,2009,19-02-2009,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Negligible,Transport,INFRA,South Asia,Afghanistan,1,IDA,IDA,SIL,>=100 million
P078324,Afghanistan Health Sector Emergency Reha,2003,2009,29-06-2011,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,High,"Health, Nutrition & Population",HD,South Asia,Afghanistan,1,IDA,IDA,ERL,>=100 million
P091036,National Emergency Employment Program - Phase I,2003,2009,20-05-2010,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,Transport,INFRA,South Asia,Afghanistan,1,IDA,RETF,SIL,>=50 millon & <100 million
P091264,ARTF - Microfinance,2004,2010,28-01-2014,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,"Finance, Competitiveness and Innovation",EFI,South Asia,Afghanistan,1,IDA,RETF,SIL,>=100 million
P083720,Emergency Communications Development Project,2004,2010,04-04-2011,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Modest,Transport,INFRA,South Asia,Afghanistan,1,IDA,IDA,ERL,>=10 million & <25 million
P100935,Avian Influenza Control and Human Pandemic Preparedness and Response Project,2007,2010,16-03-2011,ICRR,Unsatisfactory,Moderately Unsatisfactory,Highly Unsatisfactory,Moderately Satisfactory,Modest,"Urban, Resilience and Land",SD,South Asia,Afghanistan,1,IDA,IDA,ERL,less than 10 million
P091038,ARTF - Rural Water Supply and Sanitation Project,2006,2010,07-11-2011,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Modest,Water,SD,South Asia,Afghanistan,1,IDA,RETF,SIL,less than 10 million
P086228,AF: ARTF-Civil Service Capacity Building,2005,2010,22-07-2011,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Modest,"Macroeconomics, Trade and Investment",EFI,South Asia,Afghanistan,1,IDA,RETF,TAL,>=10 million & <25 million
P083964,Education Quality Improvement Program,2005,2010,03-11-2010,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,Education,HD,South Asia,Afghanistan,1,IDA,IDA,ERL,>=25 million & <50 million
P092162,ARTF - Afghanistan Short-Term Urban Water Supply and Sanitation Project,2005,2011,14-09-2012,ICRR,Highly Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,Moderately Unsatisfactory,Negligible,Water,SD,South Asia,Afghanistan,1,IDA,RETF,SIL,>=25 million & <50 million
P083919,Kabul Urban Reconstruction Project,2005,2011,30-04-2014,ICRR,Moderately Satisfactory,Moderately Satisfactory,Unsatisfactory,Moderately Satisfactory,Substantial,"Urban, Resilience and Land",SD,South Asia,Afghanistan,1,IDA,IDA,ERL,>=25 million & <50 million
P113199,Food Crisis Response Project,2009,2011,15-10-2012,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,Water,SD,South Asia,Afghanistan,1,IDA,SPF,ERL,less than 10 million
P083906,Emergency Customs Modernization and Trade Facilitation Project,2004,2011,05-12-2011,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,Transport,INFRA,South Asia,Afghanistan,1,IDA,IDA,ERL,>=25 million & <50 million
P107921,Afg Strengthening Institutions DPG,2009,2011,25-06-2013,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,Governance,EFI,South Asia,Afghanistan,1,IDA,IDA,DPL,>=25 million & <50 million
P090928,Afghanistan PSD Support Project,2007,2011,03-12-2012,ICRR,Highly Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,Unsatisfactory,Modest,"Finance, Competitiveness and Innovation",EFI,South Asia,Afghanistan,1,IDA,IDA,SIL,>=25 million & <50 million
P102288,Afghanistan: Emergency National Solidarity Project II,2007,2011,13-03-2014,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Substantial,"Urban, Resilience and Land",SD,South Asia,Afghanistan,1,IDA,IDA,SIL,>=100 million
P088719,Afghanistan Investment Guarantee Facility,2005,2012,12-04-2013,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,"Finance, Competitiveness and Innovation",EFI,South Asia,Afghanistan,1,IDA,IDA,SIL,less than 10 million
P106170,AF: ARTF-Management Capacity Program,2007,2012,02-04-2013,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Modest,"Macroeconomics, Trade and Investment",EFI,South Asia,Afghanistan,1,IDA,RETF,TAL,>=10 million & <25 million
P104301,Expanding Microfinance Outreach and Improving Sustainability,2008,2012,29-01-2014,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,"Finance, Competitiveness and Innovation",EFI,South Asia,Afghanistan,1,IDA,IDA,FIL,>=10 million & <25 million
P099980,Public Financial Management Reform Project,2007,2012,17-08-2012,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Highly Satisfactory,Substantial,Governance,EFI,South Asia,Afghanistan,1,IDA,IDA,TAL,>=25 million & <50 million
P107372,Afghanistan Judicial Reform Project,2008,2012,10-04-2013,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,Governance,EFI,South Asia,Afghanistan,1,IDA,RETF,TAL,>=100 million
P107101,Kabul Urban Roads Improvement Project,2009,2012,19-09-2013,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Negligible,Transport,INFRA,South Asia,Afghanistan,1,IDA,RETF,SIL,>=10 million & <25 million
P097030,AF: Civil Service Reform Project,2007,2012,19-04-2012,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Moderately Satisfactory,Modest,Governance,EFI,South Asia,Afghanistan,1,IDA,IDA,TAL,>=10 million & <25 million
P078936,AF: Emergency Irrigation Rehabilitation Project,2004,2012,26-06-2014,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Negligible,Water,SD,South Asia,Afghanistan,1,IDA,IDA,SIL,>=100 million
P112097,Technical Assistance for Water-sector Capacity Building,2009,2013,07-05-2015,ICRR,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Negligible,Water,SD,South Asia,Afghanistan,1,IDA,RETF,TAL,less than 10 million
P098118,Sustainable Development of Natural Resources,2006,2013,09-06-2015,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,Energy & Extractives,INFRA,South Asia,Afghanistan,1,IDA,IDA,ERL,>=25 million & <50 million
P101502,Afghanistan HIV/AIDS Prevention Project,2008,2013,09-12-2013,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,"Health, Nutrition & Population",HD,South Asia,Afghanistan,1,IDA,IDA,SIL,less than 10 million
P089040,Afghanistan: Strengthening Higher Education Program,2005,2013,12-05-2014,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,Education,HD,South Asia,Afghanistan,1,IDA,IDA,ERL,>=50 millon & <100 million
P106654,ARTF - Kabul-Aybak/Mazar-e-Sharif Power Project,2008,2013,29-07-2014,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Modest,Energy & Extractives,INFRA,South Asia,Afghanistan,1,IDA,RETF,SIL,>=50 millon & <100 million
P083908,Emergency Power Rehabilitation Project,2004,2013,06-10-2014,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Negligible,Energy & Extractives,INFRA,South Asia,Afghanistan,1,IDA,IDA,ERL,>=100 million
P098256,Afghanistan: Horticulture and Livestock Productivity Project,2006,2013,12-03-2014,ICRR,Moderately Satisfactory,Moderately Satisfactory,Unsatisfactory,Moderately Satisfactory,Substantial,Agriculture and Food,SD,South Asia,Afghanistan,1,IDA,IDA,SIL,>=10 million & <25 million
P087860,AF: Urban Water Sector Project,2006,2014,09-06-2015,ICRR,Moderately Satisfactory,Moderately Satisfactory,Unsatisfactory,Moderately Satisfactory,Modest,Water,SD,South Asia,Afghanistan,1,IDA,IDA,ERL,>=10 million & <25 million
P110644,Afghanistan Financial Sector Strengthening Project,2009,2014,30-06-2015,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Negligible,"Finance, Competitiveness and Innovation",EFI,South Asia,Afghanistan,1,IDA,IDA,SIL,less than 10 million
P102573,Afghanistan Skills Development Project,2008,2014,30-06-2015,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Modest,Education,HD,South Asia,Afghanistan,1,IDA,IDA,ERL,>=10 million & <25 million
P112446,Afghanistan - Strengthening Health Activities for the Rural Poor (SHARP),2009,2014,06-06-2014,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,"Health, Nutrition & Population",HD,South Asia,Afghanistan,1,IDA,IDA,SIL,>=50 millon & <100 million
P103343,National Emergency Rural Access Project,2008,2014,30-12-2014,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,Transport,INFRA,South Asia,Afghanistan,1,IDA,IDA,ERL,>=100 million
P118027,AF: Development Policy Prog. Series,2014,2015,20-06-2017,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,"Macroeconomics, Trade and Investment",EFI,South Asia,Afghanistan,1,IDA,IDA,DPL,>=50 millon & <100 million
P120565,Afghanistan - Support to Basic Package of Health Services (Strengthening Health Activity for Rural Poor,2010,2015,29-06-2016,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,"Health, Nutrition & Population",HD,South Asia,Afghanistan,1,IDA,RETF,SIL,>=10 million & <25 million
P121883,AFGHANSTAT: Strengthening the National Statistical System,2011,2016,20-12-2016,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Negligible,"Macroeconomics, Trade and Investment",EFI,South Asia,Afghanistan,1,IDA,RETF,SIL,>=10 million & <25 million
P111943,Afghanistan Power System Development Project,2009,2017,18-06-2019,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Moderately Satisfactory,Modest,Energy & Extractives,INFRA,South Asia,Afghanistan,1,IDA,RETF,SIL,>=50 millon & <100 million
P117103,National Solidarity Program III,2010,2017,28-10-2018,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Substantial,"Urban, Resilience and Land",SD,South Asia,Afghanistan,1,IDA,IDA,IPF,>=25 million & <50 million
P118925,Afghanistan: Sustainable Development of Natural Resources Project II,2011,2017,13-04-2018,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Modest,Energy & Extractives,INFRA,South Asia,Afghanistan,1,IDA,IDA,TAL,>=25 million & <50 million
P118028,AF: ARTF-2nd Judicial Reform Project,2012,2018,30-09-2018,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Modest,Governance,EFI,South Asia,Afghanistan,1,IDA,RETF,IPF,>=25 million & <50 million
P110407,AF Rural Enterprise Development Program,2010,2018,24-07-2019,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Substantial,Agriculture and Food,SD,South Asia,Afghanistan,1,IDA,IDA,IPF,>=25 million & <50 million
P106259,Afghanistan - Second Education Quality Improvement Program,2008,2018,23-01-2019,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Substantial,Education,HD,South Asia,Afghanistan,1,IDA,IDA,IPF,>=25 million & <50 million
P160544,Inclusive Growth Development Policy Grant,2017,2018,26-03-2020,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,"Macroeconomics, Trade and Investment",EFI,South Asia,Afghanistan,1,IDA,IDA,DPL,>=100 million
P112872,Second Customs Reform and Trade Facilitation Project,2010,2018,03-05-2019,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,"Finance, Competitiveness and Innovation",EFI,South Asia,Afghanistan,1,IDA,IDA,IPF,>=50 millon & <100 million
P118053,Afghanistan New Market Development,2011,2018,06-08-2018,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,"Finance, Competitiveness and Innovation",EFI,South Asia,Afghanistan,1,IDA,IDA,IPF,>=10 million & <25 million
P129663,Afghanistan: System Enhancement for Health Action in Transition Project,2013,2018,09-01-2020,ICRR,Satisfactory,Satisfactory,Satisfactory,Highly Satisfactory,High,"Health, Nutrition & Population",HD,South Asia,Afghanistan,1,IDA,IDA,IPF,>=100 million
P113421,Afghanistan Pension Administration and Safety Net Project,2010,2018,18-12-2018,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Substantial,Social Protection & Jobs,HD,South Asia,Afghanistan,1,IDA,IDA,ERL,>=10 million & <25 million
P121755,Afghanistan ICT Sector Development Project,2011,2018,21-11-2018,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Modest,Transport,INFRA,South Asia,Afghanistan,1,IDA,IDA,ERL,>=50 millon & <100 million
P120427,Public Financial Management Reform II,2011,2018,16-01-2019,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,Governance,EFI,South Asia,Afghanistan,1,IDA,RETF,IPF,>=100 million
P157035,Afghanistan Technical Assistance Facility,2016,2019,24-06-2020,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,Governance,EFI,South Asia,Afghanistan,1,IDA,RETF,IPF,less than 10 million
P164882,Afghanistan Incentive Program Development Policy Grant,2018,2019,08-12-2020,ICRR,Moderately Satisfactory,Moderately Satisfactory,,,,"Macroeconomics, Trade and Investment",EFI,South Asia,Afghanistan,1,IDA,IDA,DPL,>=50 millon & <100 million
P123845,Afghanistan Capacity Building for Results Facility (CBR),2012,2019,17-04-2020,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Satisfactory,Modest,Governance,EFI,South Asia,Afghanistan,1,IDA,RETF,IPF,>=100 million
P146015,Non-Formal Approach to Training Education and Jobs in Afghanistan Project,2014,2019,16-09-2019,ICRR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Modest,Education,HD,South Asia,Afghanistan,1,IDA,RETF,IPF,less than 10 million
P168274,Afghanistan: Fiscal Stability Facility,2019,2019,21-01-2020,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,Governance,EFI,South Asia,Afghanistan,1,IDA,RETF,IPF,>=100 million
P120397,Afghanistan Agricultural Inputs Project (AAIP),2013,2019,22-10-2020,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Substantial,Agriculture and Food,SD,South Asia,Afghanistan,1,IDA,RETF,IPF,>=50 millon & <100 million
P147147,URBAN DEVELOPMENT SUPPORT PROJECT,2017,2020,21-07-2021,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,"Urban, Resilience and Land",SD,South Asia,Afghanistan,1,IDA,IDA,IPF,>=10 million & <25 million
P120398,AF On-Farm Water Management (OFWM),2011,2020,22-10-2020,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,Agriculture and Food,SD,South Asia,Afghanistan,1,IDA,RETF,IPF,>=50 millon & <100 million
P168446,2019 Incentive Program Development Policy Operation,2019,2020,25-11-2021,ICRR,Moderately Satisfactory,Satisfactory,,,,"Macroeconomics, Trade and Investment",EFI,South Asia,Afghanistan,1,IDA,IDA,DPL,>=100 million
P119047,Financial Sector Rapid Response Project,2012,2020,02-03-2021,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,"Finance, Competitiveness and Innovation",EFI,South Asia,Afghanistan,1,IDA,IDA,IPF,>=10 million & <25 million
P172211,2020 INCENTIVE PROGRAM DEVELOPMENT POLICY GRANT,2020,2021,11-11-2022,ICRR,Unsatisfactory,Moderately Satisfactory,,,,"Macroeconomics, Trade and Investment",EFI,South Asia,Afghanistan,1,IDA,IDA,DPL,>=100 million
P131228,DABS Planning And Capacity Support,2016,2021,30-09-2021,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Modest,Energy & Extractives,INFRA,South Asia,Afghanistan,1,IDA,RETF,IPF,less than 10 million
